ui_name;ingredient;alias;shop;generic_name;original_name;package_weight;unit;price_per_100;price_package;match_type;fuzzy_score;dedup;kcal
ciecierzyca;ciecierzyca;;auchan;ciecierzyca;Ciecierzyca Auchan 400 g;400.0;g;1.2375;4.95;auto;100.0;;139.0
cukier;cukier;;auchan;cukier;Cukier drobny Auchan 750 g;750.0;g;1.2653;9.49;auto;100.0;;387.0
cukier;cukier brązowy;;auchan;cukier;Cukier drobny Auchan 750 g;750.0;g;1.2653;9.49;auto;100.0;shop_sku;387.0
cukier;cukier kokosowy;;auchan;cukier;Cukier drobny Auchan 750 g;750.0;g;1.2653;9.49;auto;100.0;shop_sku;387.0
cukier;cukier palmowy;;auchan;cukier;Cukier drobny Auchan 750 g;750.0;g;1.2653;9.49;auto;100.0;shop_sku;387.0
cukier puder;cukier puder;;auchan;cukier puder;Cukier puder Polski Cukier 500 g;500.0;g;1.498;7.49;auto;100.0;;389.0
cukinia;cukinia;;biedronka;cukinia;Cukinia;400.0;g;1.3;5.2;auto;100.0;;17.0
curry;curry;;biedronka;curry;Kamis Curry 20 g;20.0;g;12.45;2.49;auto;100.0;;325.0
curry;curry w proszku;;biedronka;curry;Kamis Curry 20 g;20.0;g;12.45;2.49;auto;100.0;shop_sku;325.0
cynamon;cynamon;;auchan;cynamon mielony;Cynamon mielony Auchan 15 g;15.0;g;8.6;1.29;auto;100.0;;247.0
czarna fasola;czarna fasola;;auchan;fasola czarna;Fasola czarna   Dawtona 400 g;240.0;g;1.4083;3.38;auto;100.0;;132.0
czarna fasola;fasola czarna;;auchan;fasola czarna;Fasola czarna   Dawtona 400 g;240.0;g;1.4083;3.38;auto;100.0;shop_sku;132.0
czarny sezam;czarny sezam;;auchan;sezam czarny;Sezam czarny Makar 500 g;500.0;g;2.85;14.25;auto;100.0;;573.0
czekolada;czekolada;;auchan;czekolada deserowa;BIO Czekolada deserowa Pewni Dobrego 200 g;200.0;g;7.995;15.99;auto;100.0;;546.0
czerwona cebula;czerwona cebula;;auchan;cebula czerwona;Cebula czerwona Warzywa Auchan na wagę ok. 500 g;100.0;g;0.459;2.3;auto;100.0;;40.0
czerwona kapusta;czerwona kapusta;;auchan;kapusta czerwona;Kapusta czerwona Z Babcinej spiżarni 350 g;350.0;g;2.54;8.89;auto;100.0;;31.0
czerwona kapusta;kapusta czerwona;;auchan;kapusta czerwona;Kapusta czerwona Z Babcinej spiżarni 350 g;350.0;g;2.54;8.89;auto;100.0;shop_sku;31.0
czerwona papryka;czerwona papryka;;biedronka;papryka czerwona;Papryka czerwona;300.0;g;1.9;5.7;auto;100.0;;31.0
czerwona papryka;papryka czerwona;;biedronka;papryka czerwona;Papryka czerwona;300.0;g;1.9;5.7;auto;100.0;shop_sku;31.0
czerwona papryka;papryka czerwona pieczona;;biedronka;papryka czerwona;Papryka czerwona;300.0;g;1.9;5.7;auto;100.0;shop_sku;31.0
czerwone winogrona;czerwone winogrona;;auchan;winogrona;Winogrona Owoce  Auchan na wagę ok. 600 g;100.0;g;1.999;11.99;auto;100.0;;69.0
czerwone winogrona;winogrona;;auchan;winogrona;Winogrona Owoce  Auchan na wagę ok. 600 g;100.0;g;1.999;11.99;auto;100.0;shop_sku;69.0
czerwone winogrona;winogrona zielone;;auchan;winogrona;Winogrona Owoce  Auchan na wagę ok. 600 g;100.0;g;1.999;11.99;auto;100.0;shop_sku;69.0
czerwony ziemniak;czerwony ziemniak;;auchan;ziemniaki czerwone;Ziemniaki czerwone Warzywa Auchan 2 kg;2000.0;g;0.3995;7.99;auto;91.4;;70.0
czerwony ziemniak;ziemniak czerwony;;auchan;ziemniaki czerwone;Ziemniaki czerwone Warzywa Auchan 2 kg;2000.0;g;0.3995;7.99;auto;91.4;shop_sku;70.0
czerwony ziemniak;ziemniaki czerwone;;auchan;ziemniaki czerwone;Ziemniaki czerwone Warzywa Auchan 2 kg;2000.0;g;0.3995;7.99;auto;100.0;shop_sku;70.0
czosnek;czosnek;;biedronka;czosnek;Czosnek 250 g;250.0;g;3.196;7.99;auto;100.0;;149.0
czosnek;czosnek w proszku;;biedronka;czosnek;Czosnek 250 g;250.0;g;3.196;7.99;auto;100.0;shop_sku;149.0
czosnek;czosnek granulowany;;auchan;czosnek granulowany;Czosnek granulowany Auchan 500 g;500.0;g;3.8;19.0;auto;100.0;canonical_name;331.0
daktyl;daktyl;;auchan;daktyle;Daktyle Medijule Jumbo Palma Deluxe 500 g;500.0;g;6.438;32.19;auto;92.3;;282.0
daktyl;daktyle;;auchan;daktyle;Daktyle Medijule Jumbo Palma Deluxe 500 g;500.0;g;6.438;32.19;auto;100.0;shop_sku;282.0
