skladnik_z_przepisu;produkt_sklepowy;oryginalna_nazwa;pkg;jednostka;cena_per_100;cena_pkg;sklep;fuzzy_score;kcal;bialko_g;tluszcz_g;wegle_g
przyprawa do bulionu drobiowego;przyprawa do ryb;BIO Ekologiczna przyprawa do ryb To Naturalne 20 g;20.0;g;17.45;3.49;auchan;93.3;300.0;10.0;5.0;60.0
płatki chex;płatki;Płatki Chocapic XXL Nestle  600 g;600.0;g;3.06;18.39;auchan;100.0;350.0;10.0;2.0;75.0
płatki drożdżowe;płatki drożdżowe;BIO Płatki drożdżowe BioLife 100 g;100.0;g;28.49;28.49;auchan;100.0;350.0;50.0;5.0;35.0
płatki owsiane;płatki owsiane;Płatki owsiane Auchan 400 g;400.0;g;0.65;2.59;auchan;100.0;379.0;13.2;6.5;67.7
ricotta;ricotta;Ricotta Auchan 250 g;250.0;g;2.38;5.95;auchan;100.0;174.0;11.4;13.0;3.0
rodzynki;rodzynki;Bakallino Rodzynki sułtańskie 400 g;400.0;g;2.12;8.49;biedronka;100.0;299.0;3.1;0.5;79.2
rukola;rukola;Rukola Warzywa Auchan 150 g;150.0;g;3.66;5.49;auchan;100.0;25.0;2.6;0.7;3.7
dziki ryż;ryż;Ryż długoziarnisty Sollana 1 kg;1000.0;g;1.0;9.99;auchan;100.0;130.0;2.7;0.3;28.2
ryż basmati;ryż basmati;Plony Natury Ryż basmati długoziarnisty 400 g;400.0;g;1.25;4.99;biedronka;100.0;357.0;7.1;0.7;79.0
ryż biały;ryż biały;Ryż biały długoziarnisty Auchan 500 g;500.0;g;0.66;3.28;auchan;100.0;360.0;6.6;0.6;79.3
brązowy ryż;ryż brązowy;Ryż brązowy długoziarnisty Auchan 4 x 100 g;400.0;g;0.82;3.29;auchan;100.0;111.0;2.6;0.9;23.0
ryż jaśminowy;ryż jaśminowy;Ryż jaśminowy Auchan 4 x 100 g;400.0;g;0.82;3.29;auchan;100.0;360.0;6.6;0.6;79.3
rzodkiewka;rzodkiewka;Rzodkiewka pęczek;1.0;pcs;0.0;2.99;biedronka;100.0;16.0;0.7;0.1;3.4
salami;salami z pomidorami i bazylią;Salami z pomidorami i bazylią Serenada 135 g;135.0;g;4.73;6.38;auchan;100.0;350.0;20.0;28.0;3.0
sałata;sałata;Sałata Pak Choi Warzywa Auchan sztuka;100.0;g;9.19;9.19;auchan;100.0;14.0;0.9;0.1;3.0
sałata masłowa;sałata masłowa;Sałata masłowa Warzywa Auchan 1 sztuka;100.0;g;3.99;3.99;auchan;100.0;13.0;1.4;0.2;2.2
sałata rzymska;sałata rzymska;Sałata rzymska               Warzywa Auchan 1sztuka;100.0;g;6.99;6.99;auchan;100.0;17.0;1.2;0.3;3.3
seler;seler;Seler korzeń Warzywa Auchan na wagę ok. 800 g;;;0.5;3.99;auchan;100.0;16.0;0.7;0.2;3.0
seler naciowy;seler naciowy;BIO Seler naciowy  Naturally Organic 400 g;400.0;g;2.25;8.98;auchan;100.0;16.0;0.7;0.2;3.0
ser;ser;Ser Mozzarella   Jager 125 g;125.0;g;2.68;3.35;auchan;100.0;350.0;25.0;27.0;1.0
ser gruyere;ser gruyere dojrzewający twardy;Ser Gruyere dojrzewający twardy EntreMont 200 g;200.0;g;12.49;24.98;auchan;100.0;413.0;29.8;32.3;0.4
halloumi;ser halloumi;Elios Ser halloumi 225 g;225.0;g;5.24;11.79;biedronka;100.0;320.0;22.0;25.0;2.0
ser kozi;ser kozi;Ser sałatkowy kozi Danmis 160 g;160.0;g;8.93;14.28;auchan;100.0;264.0;18.5;20.0;2.0
ser w kawałku;ser mimolette w kawałku;Ser Mimolette w kawałku Temar na wagę ok. 200 g;;;6.79;13.58;auchan;91.7;400.0;25.0;33.0;1.0
ser pleśniowy;ser pleśniowy;Ser pleśniowy Złocisty Lazur 100 g;100.0;g;5.88;5.88;auchan;100.0;353.0;21.4;28.7;2.3
ser ricotta;ser ricotta pecorina;Ser Ricotta Pecorina    Auchan na wagę ok. 130 g;;;4.79;6.23;auchan;100.0;174.0;11.3;13.0;3.0
ser wegański;ser wegański ser bez laktozy;Ser wegański kremowy cheddar bez laktozy Violife 150 g;150.0;g;8.26;12.39;auchan;100.0;250.0;2.0;20.0;15.0
sezam;sezam;Sezam Bakal 500 g;500.0;g;3.36;16.79;auchan;100.0;573.0;17.7;49.7;23.5
czarny sezam;sezam czarny;Sezam czarny Makar 500 g;500.0;g;2.85;14.25;auchan;100.0;573.0;17.7;49.7;23.4
mielone siemię lniane;siemię lniane;Siemię lniane Auchan 1 kg;1000.0;g;0.99;9.9;auchan;100.0;534.0;18.3;42.2;28.9
skrobia kukurydziana;skrobia kukurydziana;BIO Ekologiczna skrobia kukurydziana NaturaVena 250 g;250.0;g;3.92;9.79;auchan;100.0;381.0;0.3;0.1;91.3
skrzydełko z kurczaka;skrzydełka z kurczaka;Piwoszki skrzydełka z kurczaka Morliny 900 g;900.0;g;2.88;25.89;auchan;95.2;203.0;17.5;14.4;0.0
smietana;smietana;Smietana 18% ekstra kremowa Zott 330 g;330.0;g;1.6;5.29;auchan;100.0;;;;
soczewica;soczewica;Soczewica konserwowa Rolnik 400 g;240.0;g;1.54;3.69;auchan;100.0;116.0;9.0;0.4;20.1
soczewica czerwona;soczewica czerwona;Plony Natury Soczewica czerwona 500 g;500.0;g;1.0;4.99;biedronka;100.0;358.0;25.8;1.1;63.1
sok z cytryny;sok z cytryny;Sok z cytryny Limmi 200 ml;200.0;ml;3.14;6.28;auchan;100.0;22.0;0.4;0.2;6.9
sok z limonki;sok z limonki z soku zagęszczonego;Sok z limonki z soku zagęszczonego House of Asia 250 ml;250.0;ml;2.7;6.74;auchan;100.0;25.0;0.4;0.1;8.4
sos;sos;Sos sałatkowy Tzatziki Kotányi 20 g;20.0;g;9.4;1.88;auchan;100.0;100.0;2.0;5.0;12.0
sos czosnkowy do makaronu;sos czosnkowy typ;Sos sałatkowy czosnkowy typ Cezar Prymat 9 g;9.0;g;10.89;0.98;auchan;90.3;;;;
sos grecki;sos grecki;Sos sałatkowy grecki  Knorr 9 g;9.0;g;16.0;1.44;auchan;100.0;200.0;2.0;18.0;8.0
sos pomidorowy;sos pomidorowy;Sos pomidorowy Winiary 34 g;33.0;g;8.76;2.89;auchan;100.0;42.0;1.7;0.2;9.0
 stewia;stewia;Stevia słodzik pochodzenia naturalnego z inuliną Zielony listek 140 g;140.0;g;8.92;12.49;auchan;100.0;0.0;0.0;0.0;0.0
mieszanka coleslaw;surówka colesław łagodna;Surówka colesław łagodna Auchan 300 g;300.0;g;1.2;3.59;auchan;100.0;100.0;1.0;7.0;9.0
syrop daktylowy;syrop;BIO Syrop daktylowy  BioLife 345 g;345.0;g;5.04;17.39;auchan;100.0;290.0;0.0;0.0;77.0
syrop klonowy;syrop klonowy;BIO Syrop klonowy Auchan 250 g;250.0;g;8.0;19.99;auchan;100.0;260.0;0.0;0.1;67.0
syrop z agawy;syrop z agawy jasny;BIO syrop z agawy jasny NaturaVena 250 g;245.0;g;4.89;11.98;auchan;100.0;310.0;0.1;0.5;76.0
szalotka;szalotka;Szalotka Warzywa Auchan 250 g;250.0;g;2.6;6.49;auchan;100.0;72.0;2.5;0.1;16.8
szczypiorek;szczypiorek;Szczypiorek Auchan sztuka;250.0;g;2.8;6.99;auchan;100.0;32.0;1.8;0.2;7.3
szparagi;szparagi;Szparagi Pewni Dobrego 400 g;400.0;g;3.75;14.99;auchan;100.0;20.0;2.2;0.1;3.9
szpinak;szpinak;Szpinak Warzywa Auchan 100 g;100.0;g;3.89;3.89;auchan;100.0;23.0;2.9;0.4;3.6
szpinak baby;szpinak baby;BIO szpinak baby Fit & Easy 150 g;150.0;g;6.13;9.19;auchan;100.0;23.0;2.9;0.4;3.6
sos z indyka;szyja z indyka;Szyja z indyka Auchan na wagę ok. 600 g;;;1.19;7.14;auchan;85.7;160.0;18.0;9.0;0.0
szynka;szynka;Szynka konserwowa premium Krakus 300 g;300.0;g;3.83;11.48;auchan;100.0;145.0;20.0;7.0;1.5
sól;sól czosnkowa;Sól czosnkowa Kamis 35 g;35.0;g;8.23;2.88;auchan;100.0;0.0;0.0;0.0;0.0
sól morska;sól morska jodowana;Sól morska jodowana Prymat 110 g;110.0;g;5.71;6.28;auchan;100.0;0.0;0.0;0.0;0.0
tahini;tahini;Elios Tahini klasyczne 300 g;300.0;g;3.33;9.99;biedronka;100.0;595.0;17.0;53.0;21.0
makaron bezglutenowy;tonnarelli makaron bezglutenowy;Tonnarelli makaron bezglutenowy Incola 250 g;250.0;g;4.16;10.39;auchan;100.0;350.0;5.0;1.0;78.0
tortilla;tortilla wraps placki wieloziarniste;Pano Tortilla Wraps Placki wieloziarniste 306 g;306.0;g;1.62;4.95;biedronka;100.0;300.0;8.0;7.0;50.0
truskawka;truskawka;100% truskawka z regionu Łowicza Pewni Dobrego 230 g;230.0;g;2.82;6.49;auchan;100.0;32.0;0.7;0.3;7.7
truskawki;truskawki;Truskawki Owoce  Auchan 250 g;250.0;g;4.4;10.99;auchan;100.0;32.0;0.7;0.3;7.7
tuńczyk;tuńczyk kawałki w sosie własnym;Tuńczyk kawałki w sosie własnym Auchan 170 g;120.0;g;5.16;6.19;auchan;100.0;116.0;26.0;0.8;0.0
twaróg;twaróg;Twaróg chudy Auchan 250 g;250.0;g;1.46;3.65;auchan;100.0;98.0;11.1;4.3;3.4
tymianek;tymianek;BIO Tymianek  Pewni Dobrego sztuka;100.0;g;9.49;9.49;auchan;100.0;101.0;5.6;1.7;24.5
czerwone winogrona;winogrona;Winogrona Owoce  Auchan na wagę ok. 600 g;;;2.0;11.99;auchan;100.0;69.0;0.7;0.2;18.0
wiórki kokosowe;wiórki kokosowe;Bakello Wiórki kokosowe 200 g;200.0;g;2.5;4.99;biedronka;100.0;660.0;6.9;65.0;24.0
wołowina;wołowina;Rosół wołowy Kucharek 120 g;120.0;g;3.2;3.84;auchan;100.0;250.0;26.0;15.0;0.0
zamiennik jajka;zamiennik jajek w proszku veggs;Zamiennik jajek w proszku vEGGs 64 g;102.0;g;22.05;22.49;auchan;93.3;300.0;0.0;0.0;75.0
ziele angielskie;ziele angielskie;Ziele angielskie  Auchan 15 g;15.0;g;8.6;1.29;auchan;100.0;263.0;6.1;8.7;72.0
zielone oliwki;zielone oliwki nadziewane migdałami;Zielone oliwki nadziewane migdałami Auchan 100 g;100.0;g;6.39;6.39;auchan;100.0;145.0;1.5;15.0;3.0
fioletowe ziemniaki;ziemniaki;Ziemniaki sałatkowe Auchan 2 kg;2000.0;g;0.25;4.99;auchan;100.0;77.0;2.0;0.1;17.0
czerwony ziemniak;ziemniaki czerwone;Ziemniaki czerwone Warzywa Auchan 2 kg;2000.0;g;0.4;7.99;auchan;91.4;70.0;1.9;0.1;15.9
zioła;zioła;Zioła Prowansalskie   Auchan 10 g;10.0;g;12.9;1.29;auchan;100.0;50.0;2.0;1.0;8.0
łopatka wieprzowa;łopatka;Łopatka bez kości Auchan na wagę ok. 1 kg;;;1.9;18.99;auchan;100.0;242.0;19.0;18.0;0.0
wędzony łosoś;łosoś;Marinero Łosoś Norweski wędzony plastry 150 g;150.0;g;11.99;17.99;biedronka;100.0;208.0;20.4;13.4;0.0
śmietana;śmietana;Śmietana 12%  Auchan 330 g;330.0;g;0.9;2.98;auchan;100.0;198.0;2.4;19.3;4.6
śmietanka 30%;śmietanka;Śmietanka UHT 18% Auchan 250 ml;250.0;ml;1.35;3.38;auchan;100.0;340.0;2.8;36.0;3.0
kiełbasa wieprzowa śniadaniowa;śniadaniowa;Śniadaniowa klasyczna Bielmar 450 g;450.0;g;1.2;5.39;auchan;100.0;0.0;0.0;0.0;0.0
kiełbaski śniadaniowe;śniadaniowe;Śniadaniowe z Łukowa 63% Lumiko 270 g;270.0;g;1.44;3.89;auchan;100.0;0.0;0.0;0.0;0.0
żeberka wołowe;żeberka;Żeberka wędzone Mościbrody na wagę ok. 900 g;;;1.6;14.39;auchan;100.0;250.0;18.0;20.0;0.0
żurawina;żurawina;Żurawina Pewni Dobrego 200 g;200.0;g;4.49;8.98;auchan;100.0;46.0;0.4;0.1;12.2
suszone żurawiny;żurawina suszona;Żurawina suszona Auchan 500 g;500.0;g;3.2;15.99;auchan;87.5;308.0;0.2;1.1;82.4
