skladnik_z_przepisu;produkt_sklepowy;oryginalna_nazwa;pkg;jednostka;cena_per_100;cena_pkg;sklep;fuzzy_score;kcal;bialko_g;tluszcz_g;wegle_g
kapusta biała;kapusta biała;Kapusta biała;3000.0;g;0.4;11.97;biedronka;100.0;25.0;1.3;0.1;5.8
czerwona kapusta;kapusta czerwona;Kapusta czerwona Z Babcinej spiżarni 350 g;350.0;g;2.54;8.89;auchan;100.0;31.0;1.4;0.2;7.4
kapusta pekińska;kapusta pekińska;Kapusta Pekińska Warzywa Auchan na wagę ok. 1 kg;;;0.45;4.49;auchan;100.0;12.0;1.1;0.2;2.2
serca karczochów;karczochy krojone w ziołach;Karczochy krojone w ziołach Antico Casale 455 /285 g;285.0;g;7.89;22.49;auchan;100.0;47.0;3.3;0.5;10.5
karkówka wołowa;karkówka;Karkówka wieprzowa bez kości rasy Puławskiej MAP Pewni Dobrego na wagę ok. 600 g;;;3.6;21.59;auchan;100.0;236.0;17.6;18.0;0.0
kawa;kawa mrożona;Kawa mrożona Hochwald 250 ml;250.0;ml;2.76;6.89;auchan;100.0;40.0;1.3;1.0;6.5
ketchup;ketchup;Kotlin Ketchup łagodny 450 g;450.0;g;1.43;6.45;biedronka;100.0;101.0;1.0;0.1;27.4
kiełbasa;kiełbasa;Kiełbasa Krakowska Spichlerz Rusiecki 280 g;280.0;g;3.5;9.79;auchan;100.0;346.0;14.1;31.7;1.8
kiełki fasoli;kiełki fasoli;Kiełki fasoli Mung w zalewie Diamond 330 g;175.0;g;5.65;9.89;auchan;100.0;30.0;3.0;0.2;5.9
kimchi;kimchi;Kimchi Runoland 300 g;300.0;g;3.6;10.79;auchan;100.0;24.0;1.1;0.2;4.4
kiwi;kiwi;Kiwi 1 szt.;1.0;pcs;0.0;1.99;biedronka;100.0;61.0;1.1;0.5;14.7
kmin rzymski;kmin rzymski mielony;Kmin rzymski mielony Kotányi 15 g;15.0;g;15.6;2.34;auchan;100.0;375.0;17.8;22.3;44.2
sos włoski;knorr sos włoski;Knorr Sos sałatkowy włoski 8 g;8.0;g;18.12;1.45;biedronka;100.0;100.0;1.5;5.0;12.0
kokos;kokos w łupinie;Kokos w łupinie Owoce  Auchan na wagę ok. 400 g;;;1.03;4.12;auchan;100.0;354.0;3.3;33.5;15.2
kolendra;kolendra;Kolendra Auchan sztuka;250.0;g;2.8;6.99;auchan;100.0;23.0;2.1;0.5;3.7
komosa ryzowa;komosa ryżowa;Quinoa Komosa Ryżowa Intenson 250 g;250.0;g;3.8;9.49;auchan;92.3;120.0;4.4;1.9;21.3
koncentrat pomidorowy;koncentrat pomidorowy;Dawtona Koncentrat pomidorowy 190 g;190.0;g;1.82;3.45;biedronka;100.0;82.0;4.3;0.5;18.9
koperek;koperek;Kamis Koperek 6 g;6.0;g;41.5;2.49;biedronka;100.0;43.0;3.5;1.1;7.0
krakersy;krakersy solone mix;Top Krakersy solone mix 90 g;90.0;g;2.1;1.89;biedronka;100.0;482.0;7.5;21.0;66.0
krewetki;krewetki koktajlowe;Krewetki koktajlowe blanszowane Auchan 400 g;400.0;g;8.75;34.99;auchan;100.0;85.0;20.3;0.5;0.0
kukurydza;kukurydza;Kukurydza konserwowa Auchan 400 g;220.0;g;1.5;3.29;auchan;100.0;86.0;3.3;1.4;18.7
kukurydza słodka;kukurydza słodka;Kukurydza konserwowa słodka Dawtona 400 g;220.0;g;2.17;4.78;auchan;100.0;86.0;3.3;1.4;18.7
kurczak fajita;kurczak;Kraina Mięs Select Kurczak farmerski porcja rosołowa z kurczaka kg;600.0;g;1.0;5.99;biedronka;100.0;239.0;27.3;13.6;0.0
kur-kuma;kurkuma;Kurkuma korzeń Owoce  Auchan na wagę ok. 100 g;;;5.18;5.18;auchan;93.3;354.0;7.8;9.9;64.9
limonka;limonka;Limonka Owoce  Auchan na wagę ok. 300 g;;;1.5;4.5;auchan;100.0;30.0;0.7;0.2;10.5
liofilizowane truskawki;liofilizowane truskawki całe;Liofilizowane truskawki całe  Garden Tree 45 g;45.0;g;42.2;18.99;auchan;100.0;396.0;4.0;3.0;90.0
majonez;majonez lekki;Winiary Majonez lekki 300 ml;300.0;ml;2.5;7.49;biedronka;100.0;238.0;0.5;22.0;10.0
mak;mak niebieski;Mak niebieski Auchan 500 g;500.0;g;2.3;11.49;auchan;100.0;525.0;18.0;41.6;28.1
makaron;makaron;Makaron Pipe Rigate Auchan 500 g;500.0;g;0.93;4.65;auchan;100.0;131.0;5.0;1.1;25.0
makaron cavatappi;makaron cavatappi z pszenicy durum;Makaron cavatappi z pszenicy durum Auchan 500 g;500.0;g;0.84;4.19;auchan;100.0;131.0;5.0;1.1;25.0
makaron fusilli z ciecierzycy;makaron fusilli;Makaron fusilli   Auchan 500 g;500.0;g;0.93;4.65;auchan;100.0;131.0;5.0;1.1;25.0
makaron jajeczny;makaron jajeczny;Makaron jajeczny Agnesi 250 g;250.0;g;3.8;9.49;auchan;100.0;138.0;4.5;2.1;25.2
makaron kokardki;makaron kokardki;Makaron kokardki Auchan 500 g;500.0;g;0.93;4.65;auchan;100.0;131.0;5.0;1.1;25.0
